name,category_ls,okpd2,country,trade_name,ru,release_form,dose,qty_need,price_per_unit,sum_rub,holder_name,manufacturer_name,manufacturer_country,primary_package_type,qty_forms_primary,qty_primary_packages,qty_consumer_units,consumer_package_completeness
"1. ДИКЛОФЕНАК: РАСТВОР ДЛЯ ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ, 25 мг/мл",Препараты противовоспалительные и противоревматические,21.20.10.221,РОССИЯ (643),ДИКЛОФЕНАК ВЕЛФАРМ,ЛП-№(002044)-(РГ-RU),РАСТВОР ДЛЯ ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ,25 мг/мл,3 000 СМ3,"3,942",,ООО ВЕЛФАРМ,ООО ВЕЛФАРМ,Российская Федерация,АМПУЛЫ,3,10,30,~
"2. ЦИПРОФЛОКСАЦИН: РАСТВОР ДЛЯ ИНФУЗИЙ, 2 мг/мл",Препараты антибактериальные для системного использования,21.20.10.191,КАЗАХСТАН (398),ЦИПРОКАЗ,ЛП-003895,РАСТВОР ДЛЯ ИНФУЗИЙ,2 мг/мл,60 000 СМ3,"0,2816375",,ТОО КЕЛУН-КАЗФАРМ,ТОО КЕЛУН-КАЗФАРМ,Республика Казахстан,ФЛАКОН,100,120,12000,~
"3. ПРОКАИН: РАСТВОР ДЛЯ ИНЪЕКЦИЙ, 5 мг/мл",Анестетики,21.20.10.231,РОССИЯ (643),НОВОКАИН,ЛП-№(002718)-(РГ-RU),РАСТВОР ДЛЯ ИНЪЕКЦИЙ,5 мг/мл,2 500 СМ3,"0,9802",,АО ФАРМАСИНТЕЗ,АО ФАРМАСИНТЕЗ,Российская Федерация,АМПУЛЫ,5,10,50,~
"4. ОКТРЕОТИД: РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ, 0.1 мг/мл",Гормоны гипоталамуса и гипофиза и их аналоги,21.20.10.181,РОССИЯ (643),ОКТРЕОТИД,ЛП-№(006264)-(РГ-RU),РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ,0.1 мг/мл,150 СМ3,"122,792",,ОАО ФАРМСТАНДАРТ-УФАВИТА,ОАО ФАРМСТАНДАРТ-УФАВИТА,Российская Федерация,АМПУЛЫ,1,5,5,~
"5. ОМЕПРАЗОЛ: КАПСУЛЫ, 20 мг","Препараты для лечения заболеваний, связанных с нарушением кислотности",21.20.10.112,РОССИЯ (643),ОМЕПРАЗОЛ,Р N002333/01,КАПСУЛЫ,20 мг,6 000 ШТ (капсула),"1,008",,ООО ПРОМЕД,ООО ПРОМЕД,Российская Федерация,УПАКОВКА ЯЧЕЙКОВАЯ КОНТУРНАЯ,10,3,30,~
"6. ПАНКРЕАТИН: КАПСУЛЫ, 25000 ЕД","Препараты, способствующие пищеварению, включая ферментные препараты",21.20.10.118,РОССИЯ (643),,МИКРАЗИМ,ЛС-000995,25000 ЕД,25000 ЕД,"18,12775",,ОАО АВВА РУС,ОАО АВВА РУС,Российская Федерация,УПАКОВКА ЯЧЕЙКОВАЯ КОНТУРНАЯ,10,4,40,~
"7. СПИРОНОЛАКТОН: ТАБЛЕТКИ, 25 мг",Диуретики,21.20.10.143,РОССИЯ (643),СПИРОНОЛАКТОН,ЛП-№(006409)-(РГ-RU),ТАБЛЕТКИ,25 мг,400 ШТ (таблетка),"3,2765",,ООО АТОЛЛ,ООО ОЗОН ФАРМ,Российская Федерация,УПАКОВКА ЯЧЕЙКОВАЯ КОНТУРНАЯ,10,2,20,~
"8. РЕКОМБИНАНТНЫЙ БЕЛОК, СОДЕРЖАЩИЙ АМИНОКИСЛОТНУЮ ПОСЛЕДОВАТЕЛЬНОСТЬ СТАФИЛОКИНАЗЫ: ЛИОФИЛИЗАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ВНУТРИВЕННОГО ВВЕДЕНИЯ, 5 мг",Антикоагулянты,21.20.10.131,РОССИЯ (643),ФОРТЕЛИЗИН,ЛП-001941,ЛИОФИЛИЗАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ВНУТРИВЕННОГО ВВЕДЕНИЯ,5 мг,745 000 МЕ) Наименование держателя или владельца РУ ООО СУПРАГЕН Наименование производителя ООО ФИРМА ФЕРМЕНТ Страна производителя Российская Федерация Вид первичной упаковки ФЛАКОН Количество лекарственных форм в первичной упаковке 5 Количество первичных упаковок в потребительской упаковке 1 Количество потребительских единиц в потребительской упаковке 5 Комплектность потребительской упаковки РАСТВОРИТЕЛЬ: НАТРИЯ ХЛОРИДА РАСТВОР (АМПУЛЫ),"456,97",,ООО СУПРАГЕН,ООО ФИРМА ФЕРМЕНТ,Российская Федерация,ФЛАКОН,5,1,5,"РАСТВОРИТЕЛЬ: НАТРИЯ ХЛОРИДА РАСТВОР (АМПУЛЫ) 456,97 1 037 091,00"
"9. АМИНОФИЛЛИН: РАСТВОР ДЛЯ ВНУТРИВЕННОГО ВВЕДЕНИЯ, 24 мг/мл",Препараты для лечения обструктивных заболеваний дыхательных путей,21.20.10.254,РОССИЯ (643),ЭУФИЛЛИН,ЛП-№(006548)-(РГ-RU),РАСТВОР ДЛЯ ВНУТРИВЕННОГО ВВЕДЕНИЯ,24 мг/мл,10 000 СМ3,"0,9772",,ОАО ДАЛЬХИМФАРМ,ОАО ДАЛЬХИМФАРМ,Российская Федерация,АМПУЛЫ,10,10,100,~
"10. АТОРВАСТАТИН: ТАБЛЕТКИ, ПОКРЫТЫЕ ОБОЛОЧКОЙ, 20 мг",Препараты гиполипидемические,21.20.10.149,РОССИЯ (643),АТОРВАСТАТИН,ЛП-006573,"ТАБЛЕТКИ, ПОКРЫТЫЕ ОБОЛОЧКОЙ",20 мг,900 ШТ (таблетка),"3,744",,ООО СИТИФАРМ,АО ФАРМПРОЕКТ,Российская Федерация,УПАКОВКА ЯЧЕЙКОВАЯ КОНТУРНАЯ,10,3,30,~
